384
255	64	64
255	66	63
254	68	62
253	70	61
252	72	60
251	74	59
250	76	58
249	78	57
248	80	56
247	82	55
246	84	54
245	86	53
244	88	52
243	90	51
242	92	50
241	94	49
240	96	48
239	98	47
238	100	46
237	102	45
236	104	44
235	106	43
234	108	42
233	110	41
232	112	40
231	114	39
230	116	38
229	118	37
228	120	36
227	122	35
226	124	34
225	126	33
224	128	32
223	130	31
222	132	30
221	134	29
220	136	28
219	138	27
218	140	26
217	142	25
216	144	24
215	146	23
214	148	22
213	150	21
212	152	20
211	154	19
210	156	18
209	158	17
208	160	16
207	162	15
206	164	14
205	166	13
204	168	12
203	170	11
202	172	10
201	174	9
200	176	8
199	178	7
198	180	6
197	182	5
196	184	4
195	186	3
194	188	2
193	190	1
192	192	0
190	193	1
188	194	2
186	195	3
184	196	4
182	197	5
180	198	6
178	199	7
176	200	8
174	201	9
172	202	10
170	203	11
168	204	12
166	205	13
164	206	14
162	207	15
160	208	16
158	209	17
156	210	18
154	211	19
152	212	20
150	213	21
148	214	22
146	215	23
144	216	24
142	217	25
140	218	26
138	219	27
136	220	28
134	221	29
132	222	30
130	223	31
128	224	32
126	225	33
124	226	34
122	227	35
120	228	36
118	229	37
116	230	38
114	231	39
112	232	40
110	233	41
108	234	42
106	235	43
104	236	44
102	237	45
100	238	46
98	239	47
96	240	48
94	241	49
92	242	50
90	243	51
88	244	52
86	245	53
84	246	54
82	247	55
80	248	56
78	249	57
76	250	58
74	251	59
72	252	60
70	253	61
68	254	62
66	255	63
64	255	64
63	255	66
62	254	68
61	253	70
60	252	72
59	251	74
58	250	76
57	249	78
56	248	80
55	247	82
54	246	84
53	245	86
52	244	88
51	243	90
50	242	92
49	241	94
48	240	96
47	239	98
46	238	100
45	237	102
44	236	104
43	235	106
42	234	108
41	233	110
40	232	112
39	231	114
38	230	116
37	229	118
36	228	120
35	227	122
34	226	124
33	225	126
32	224	128
31	223	130
30	222	132
29	221	134
28	220	136
27	219	138
26	218	140
25	217	142
24	216	144
23	215	146
22	214	148
21	213	150
20	212	152
19	211	154
18	210	156
17	209	158
16	208	160
15	207	162
14	206	164
13	205	166
12	204	168
11	203	170
10	202	172
9	201	174
8	200	176
7	199	178
6	198	180
5	197	182
4	196	184
3	195	186
2	194	188
1	193	190
0	192	192
1	190	193
2	188	194
3	186	195
4	184	196
5	182	197
6	180	198
7	178	199
8	176	200
9	174	201
10	172	202
11	170	203
12	168	204
13	166	205
14	164	206
15	162	207
16	160	208
17	158	209
18	156	210
19	154	211
20	152	212
21	150	213
22	148	214
23	146	215
24	144	216
25	142	217
26	140	218
27	138	219
28	136	220
29	134	221
30	132	222
31	130	223
32	128	224
33	126	225
34	124	226
35	122	227
36	120	228
37	118	229
38	116	230
39	114	231
40	112	232
41	110	233
42	108	234
43	106	235
44	104	236
45	102	237
46	100	238
47	98	239
48	96	240
49	94	241
50	92	242
51	90	243
52	88	244
53	86	245
54	84	246
55	82	247
56	80	248
57	78	249
58	76	250
59	74	251
60	72	252
61	70	253
62	68	254
63	66	255
64	64	255
66	63	255
68	62	254
70	61	253
72	60	252
74	59	251
76	58	250
78	57	249
80	56	248
82	55	247
84	54	246
86	53	245
88	52	244
90	51	243
92	50	242
94	49	241
96	48	240
98	47	239
100	46	238
102	45	237
104	44	236
106	43	235
108	42	234
110	41	233
112	40	232
114	39	231
116	38	230
118	37	229
120	36	228
122	35	227
124	34	226
126	33	225
128	32	224
130	31	223
132	30	222
134	29	221
136	28	220
138	27	219
140	26	218
142	25	217
144	24	216
146	23	215
148	22	214
150	21	213
152	20	212
154	19	211
156	18	210
158	17	209
160	16	208
162	15	207
164	14	206
166	13	205
168	12	204
170	11	203
172	10	202
174	9	201
176	8	200
178	7	199
180	6	198
182	5	197
184	4	196
186	3	195
188	2	194
190	1	193
192	0	192
193	1	190
194	2	188
195	3	186
196	4	184
197	5	182
198	6	180
199	7	178
200	8	176
201	9	174
202	10	172
203	11	170
204	12	168
205	13	166
206	14	164
207	15	162
208	16	160
209	17	158
210	18	156
211	19	154
212	20	152
213	21	150
214	22	148
215	23	146
216	24	144
217	25	142
218	26	140
219	27	138
220	28	136
221	29	134
222	30	132
223	31	130
224	32	128
225	33	126
226	34	124
227	35	122
228	36	120
229	37	118
230	38	116
231	39	114
232	40	112
233	41	110
234	42	108
235	43	106
236	44	104
237	45	102
238	46	100
239	47	98
240	48	96
241	49	94
242	50	92
243	51	90
244	52	88
245	53	86
246	54	84
247	55	82
248	56	80
249	57	78
250	58	76
251	59	74
252	60	72
253	61	70
254	62	68
255	63	66
